Title,Type,Priority,Preconditions,Steps,Expected Result,Section
Export enclosed test document to PDF and verify rendering,Regression,Low,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",
,,,,"Lorem quam quis eget, tellus vestibulum rutrum",,
,,,,Vitae massa eget urna elementum porta.,,
,,,,Tellus vestibulum rutrum,,
Change document margins and test interoperability with PDF export,Other,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",
Change text alignment in an inline table,Usability,High,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",
Verify line spacing on multi-page document,Automated,High,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Prerequisites
Test conditional formatting with basic value range,Performance,High,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Prerequisites
Format table with built-in style,Functionality,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Prerequisites
Apply sort routine to complex table with different currencies,Performance,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Prerequisites
Verify formula rendering with built-in print preview driver,Automated,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Prerequisites
Verify CSV import with enclosed test data files,Other,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
"Change document attributes (author, title, organization)",Automated,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Print document history and attributes,Regression,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
Add new review data point (including note),Functionality,Normal,Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.,"Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum",Documentation & Help
,,,,"Lorem quam quis eget, tellus vestibulum rutrum",,
,,,,Tellus vestibulum rutrum,,
